|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|numexpress|rdeco|count_word_text|count_word_sent
0|всё|всё|Всё|PRCL|1|1|1|BADW|||9|1.0
1|достаточно|достаточно|достаточно|ADVB|2|1|2|BADW|||1|1.0
2|кратко|кратко|кратко|ADVB|3|1|3|BADW|||2|1.0
3|,|,|,|PNCT|4|1|4|PNCT|||239|3.0
4|ибо|ибо|ибо|CONJ|5|1|5|BADW|||1|1.0
5|по|по|по|PREP|6|1|6|BADW|||39|1.0
6|часть|частям|частям|NOUN|7|1|7||||6|1.0
7|подробно|подробно|подробно|ADVB|8|1|8|BADW|||1|1.0
8|рассматриваюсь|рассматривалась|рассматривалась|VERB|9|1|9||||1|1.0
9|ранее|ранее|ранее|ADVB|10|1|10|BADW|||2|1.0
10|в|в|в|NOUN|11|1|11|BADW|||85|1.0
11|блог|блоге|блоге|NOUN|12|1|12||||6|1.0
12|,|,|,|PNCT|13|1|13|PNCT|||239|3.0
13|200-1500п|от 200 до 1500 просмотров|от 200 до 1500 просмотров|NUSR|14|1|14|NUSR|1||1|1.0
14|от|от|от|PREP|14|1|14|BADW|||18|1.0
15|200|200|200|NUMB|15|1|15|NUMB|||3|1.0
16|до|до|до|PREP|16|1|16|BADW|||12|1.0
17|1500|1500|1500|NUMB|17|1|17|NUMB|||1|1.0
18|просмотр|просмотров|просмотров|NOUN|18|1|18||||1|1.0
19|на|на|на|PRCL|19|1|19|BADW|||65|1.0
20|сегодня|сегодня|сегодня|ADVB|20|1|20|BADW|||1|1.0
21|,|,|,|PNCT|21|1|21|PNCT|||239|3.0
22|без|без|без|PREP|22|1|22|BADW|||2|1.0
23|возражение|возражений|возражений|NOUN|23|1|23||||1|1.0
24|.|.|.|PNCT|24|1|24|PNCT|||156|1.0
25|однако|однако|Однако|CONJ|25|2|1|BADW|||5|1.0
26|,|,|,|PNCT|26|2|2|PNCT|||239|1.0
27|по|по|по|PREP|27|2|3|BADW|||39|1.0
