|word|tword|pos|idsent|sentpos
3|konkurent.ru|KONKURENT.RU|5|1|5
15|вертолетаопубликовано|вертолетаопубликовано|20|2|9
176|предприятия-изготовителя|предприятия-изготовителя|274|16|18
261|федерально-целевой|федерально-целевой|408|24|14
448|order@aacprogress.ru|order@aacprogress.ru|671|38|9
453|quality@aacprogress.ru|quality@aacprogress.ru|678|38|16
529|травмобезопасность|Травмобезопасность|802|47|1
540|энергопоглощающей|энергопоглощающей|816|47|15
580|одновинтовую|одновинтовую|876|50|7
600|общевертолетным|общевертолетным|908|51|13
606|птицестойкое|птицестойкое|915|51|20
