|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_text|count_word_sent|count_key_text
0|совет|совет|Совет|NOUN|1|1|1||10|1.0|10
1|авиастроение|авиастроению|авиастроению|NOUN|3|1|3||7|1.0|7
2|коллегия|коллегии|коллегии|NOUN|4|1|4||6|1.0|6
3|вп|военно-промышленной|Военно-промышленной|TITL|5|1|5|TITL|1|1.0|1
5|рф|российской федерации|Российской Федерации|NAME|7|1|7|NAME|2|1.0|2
6|вр|впк рф|ВПК РФ|ABVR|8|1|8|ABVR|12|1.0|12
9|2019 г|2019 г|2019 г|NUSR|12|1|12|NUSR|3|1.0|3
12|заседание|заседания|заседания|NOUN|15|1|15||9|1.0|9
16|перспективный|перспективные|перспективные|ADJF|22|1|22||4|1.0|4
17|вопрос|вопросы|вопросы|NOUN|23|1|23||6|1.0|6
18|работа|работы|работы|NOUN|24|1|24||10|1.0|10
19|отечественный|отечественной|отечественной|ADJF|25|1|25||7|1.0|7
21|отрасль|отрасли|отрасли|NOUN|27|1|27||4|1.0|4
23|2019 г|2019 г|2019 г|NUSR|30|2|3|NUSR|3|1.0|3
24|заседание|заседания|заседания|NOUN|31|2|4||9|1.0|9
25|совет|совета|Совета|NOUN|32|2|5|TITL|10|1.0|10
28|предприятие|предприятиях|предприятиях|NOUN|36|2|9|SPEC|7|1.0|7
29|отрасль|отрасли|отрасли|NOUN|37|2|10||4|1.0|4
34|вопрос|вопросов|вопросов|NOUN|45|2|18||6|1.0|6
35|перспектива|перспективы|Перспективы|NOUN|46|3|1||4|1.0|4
36|развитие|развития|развития|NOUN|47|3|2||11|1.0|11
37|рынок|рынка|рынка|NOUN|48|3|3||7|1.0|7
38|вертолетный|вертолетной|вертолетной|ADJF|49|3|4||4|1.0|4
39|техника|техники|техники|NOUN|50|3|5|SPEC|11|1.0|11
41|заседание|заседании|заседании|NOUN|53|3|8||9|1.0|9
42|совет|совета|Совета|NOUN|54|3|9|TITL|10|1.0|10
44|ао|ао|АО|ABVR|57|3|12|SPEC|14|1.0|14
